benchmark,relay,cap,obs,up,down
fixedrate,direct,270,1,8.192,200.021
fixedrate,direct,270,2,5.676,194.567
fixedrate,direct,270,3,4.446,165.026
fixedrate,direct,270,4,3.961,157.522
fixedrate,direct,270,5,4.908,169.568
fixedrate,direct,270,6,4.092,183.194
fixedrate,direct,270,7,5.406,183.596
fixedrate,direct,270,8,4.614,153.268
fixedrate,direct,270,9,4.862,157.578
fixedrate,direct,270,10,3.51,112.096
fixedrate,direct,270,11,2.904,127.236
fixedrate,direct,270,12,3.894,172.596
fixedrate,direct,270,13,3.828,172.596
fixedrate,direct,270,14,13.815,247.944
fixedrate,direct,270,15,7.765,250.173
fixedrate,direct,270,16,5.61,252.838
fixedrate,direct,270,17,6.072,275.548
fixedrate,direct,270,18,6.798,311.884
fixedrate,direct,270,19,9.134,318.282
fixedrate,direct,270,20,7.722,281.664
fixedrate,direct,280,1,3.415,112.353
fixedrate,direct,280,2,4.884,213.474
fixedrate,direct,280,3,9.866,318.958
fixedrate,direct,280,4,7.458,341.258
fixedrate,direct,280,5,8.382,386.07
fixedrate,direct,280,6,8.544,263.537
fixedrate,direct,280,7,5.49,184.768
fixedrate,direct,280,8,4.998,172.971
fixedrate,direct,280,9,4.998,184.708
fixedrate,direct,280,10,4.29,178.956
fixedrate,direct,280,11,4.026,184.708
fixedrate,direct,280,12,4.62,208.932
fixedrate,direct,280,13,6.498,237.698
fixedrate,direct,280,14,6.039,201.428
fixedrate,direct,280,15,5.064,180.166
fixedrate,direct,280,16,5.052,134.746
fixedrate,direct,280,17,3.168,136.26
fixedrate,direct,280,18,3.96,178.652
fixedrate,direct,280,19,40.956,171.738
fixedrate,direct,280,20,8.019,180.559
fixedrate,direct,290,1,2.503,74.743
fixedrate,direct,290,2,4.158,184.708
fixedrate,direct,290,3,8.574,242.346
fixedrate,direct,290,4,4.026,180.166
fixedrate,direct,290,5,4.686,207.418
fixedrate,direct,290,6,4.026,175.69
fixedrate,direct,290,7,6.696,243.194
fixedrate,direct,290,8,5.676,257.38
fixedrate,direct,290,9,6.324,234.67
fixedrate,direct,290,10,4.158,168.824
fixedrate,direct,290,11,6.681,228.712
fixedrate,direct,290,12,5.874,268.038
fixedrate,direct,290,13,6.402,295.23
fixedrate,direct,290,14,7.41,213.594
fixedrate,direct,290,15,4.098,128.782
fixedrate,direct,290,16,4.062,99.924
fixedrate,direct,290,17,3.102,131.718
fixedrate,direct,290,18,3.828,169.628
fixedrate,direct,290,19,4.944,184.768
fixedrate,direct,290,20,4.224,172.96
fixedrate,direct,300,1,3.493,111.818
fixedrate,direct,300,2,5.214,228.614
fixedrate,direct,300,3,8.052,357.304
fixedrate,direct,300,4,12.021,464.906
fixedrate,direct,300,5,8.454,252.838
fixedrate,direct,300,6,3.828,175.624
fixedrate,direct,300,7,4.884,219.53
fixedrate,direct,300,8,5.742,257.38
fixedrate,direct,300,9,6.93,315.032
fixedrate,direct,300,10,6.781,294.393
fixedrate,direct,300,11,13.345,441.707
fixedrate,direct,300,12,11.838,452.686
fixedrate,direct,300,13,10.26,384.556
fixedrate,direct,300,14,8.052,365.958
fixedrate,direct,300,15,7.326,316.473
fixedrate,direct,300,16,7.326,316.473
fixedrate,direct,300,17,7.326,314.737
